news_id1,news_id2
1301,9057
1632,7245
3176,7857
3316,7314
7330,9615
60,6072
5135,7277
3384,9679
4217,6816
1001,6807
6197,7059
2886,9333
944,8320
74,1704
1694,5995
7313,8985
4374,9821
8078,8936
4469,7374
5907,9702
4257,8335
514,1388
2138,9979
7557,7978
2128,3294
7044,8103
72,3710
5338,9790
6271,8866
5851,7906
104,8069
1646,8863
85,6400
6412,9504
5344,8856
894,2301
399,1520
6075,8919
1743,5494
1529,2878
7480,9710
1149,7098
1879,2834
1729,2381
6069,7553
8581,8697
776,7154
3429,7426
2411,8883
5841,7656
3777,7510
427,4607
702,2888
1443,4072
889,9155
2378,5155
859,1537
4834,5011
4632,5298
1857,4667
3941,5921
209,3827
4766,5186
123,8386
6048,6487
5138,8768
6057,6733
7974,9863
6906,9428
5652,8458
5878,7209
36,8876
3187,4104
3182,5521
694,5602
265,3977
7282,9297
807,1508
4437,5886
2521,3630
6802,6945
742,7310
